2023-03-04 22:36:31,490 - [INFO] - Demo1_1 - [msg]OrderedDict([('count', 34), ('next', 'http://127.0.0.1:8000/projects/names/?pp=2'), ('previous', None), ('results', [OrderedDict([('id', 5), ('name', '在线图书项目（一期）')]), OrderedDict([('id', 11), ('name', 'pomp项目')]), OrderedDict([('id', 12), ('name', '图书管理系统')])]), ('max_num', 12), ('current_num', 1)]) - [views.py:224 ]
2023-03-04 22:36:33,159 - [INFO] - Demo1_1 - [msg]OrderedDict([('count', 34), ('next', 'http://127.0.0.1:8000/projects/names/?pp=2'), ('previous', None), ('results', [OrderedDict([('id', 5), ('name', '在线图书项目（一期）')]), OrderedDict([('id', 11), ('name', 'pomp项目')]), OrderedDict([('id', 12), ('name', '图书管理系统')])]), ('max_num', 12), ('current_num', 1)]) - [views.py:224 ]
2023-03-05 09:55:51,303 - [INFO] - Demo1_1 - [msg]OrderedDict([('count', 34), ('next', 'http://127.0.0.1:8000/projects/names/?pp=2'), ('previous', None), ('results', [OrderedDict([('id', 5), ('name', '在线图书项目（一期）')]), OrderedDict([('id', 11), ('name', 'pomp项目')]), OrderedDict([('id', 12), ('name', '图书管理系统')])]), ('max_num', 12), ('current_num', 1)]) - [views.py:224 ]
2023-03-05 09:56:24,322 - [INFO] - Demo1_1 - [msg]OrderedDict([('count', 34), ('next', 'http://127.0.0.1:8000/projects/names/?pp=2'), ('previous', None), ('results', [OrderedDict([('id', 5), ('name', '在线图书项目（一期）')]), OrderedDict([('id', 11), ('name', 'pomp项目')]), OrderedDict([('id', 12), ('name', '图书管理系统')])]), ('max_num', 12), ('current_num', 1)]) - [views.py:224 ]
2023-03-05 10:35:01,611 - [INFO] - Demo1_1 - [msg]OrderedDict([('count', 5), ('next', 'http://127.0.0.1:8000/projects/names/?pp=2'), ('previous', None), ('results', [OrderedDict([('id', 15), ('name', 'zxxxx2')]), OrderedDict([('id', 24), ('name', '测试项目002')]), OrderedDict([('id', 27), ('name', 'test项目27')])]), ('max_num', 2), ('current_num', 1)]) - [views.py:224 ]
2023-03-05 10:35:06,352 - [INFO] - Demo1_1 - [msg]OrderedDict([('count', 5), ('next', 'http://127.0.0.1:8000/projects/names/?pp=2'), ('previous', None), ('results', [OrderedDict([('id', 15), ('name', 'zxxxx2')]), OrderedDict([('id', 24), ('name', '测试项目002')]), OrderedDict([('id', 27), ('name', 'test项目27')])]), ('max_num', 2), ('current_num', 1)]) - [views.py:224 ]
2023-03-05 10:35:08,801 - [INFO] - Demo1_1 - [msg]OrderedDict([('count', 5), ('next', 'http://127.0.0.1:8000/projects/names/?pp=2'), ('previous', None), ('results', [OrderedDict([('id', 15), ('name', 'zxxxx2')]), OrderedDict([('id', 24), ('name', '测试项目002')]), OrderedDict([('id', 27), ('name', 'test项目27')])]), ('max_num', 2), ('current_num', 1)]) - [views.py:224 ]
2023-03-05 10:35:12,688 - [INFO] - Demo1_1 - [msg]OrderedDict([('count', 5), ('next', 'http://127.0.0.1:8000/projects/names/?pp=2'), ('previous', None), ('results', [OrderedDict([('id', 15), ('name', 'zxxxx2')]), OrderedDict([('id', 24), ('name', '测试项目002')]), OrderedDict([('id', 27), ('name', 'test项目27')])]), ('max_num', 2), ('current_num', 1)]) - [views.py:224 ]
2023-03-05 10:36:30,763 - [INFO] - Demo1_1 - [msg]OrderedDict([('count', 5), ('next', 'http://127.0.0.1:8000/projects/names/?pp=2'), ('previous', None), ('results', [OrderedDict([('id', 15), ('name', 'zxxxx2')]), OrderedDict([('id', 24), ('name', '测试项目002')]), OrderedDict([('id', 27), ('name', 'test项目27')])]), ('max_num', 2), ('current_num', 1)]) - [views.py:224 ]
2023-03-05 10:37:57,180 - [INFO] - Demo1_1 - [msg]OrderedDict([('count', 5), ('next', 'http://127.0.0.1:8000/projects/names/?pp=2'), ('previous', None), ('results', [OrderedDict([('id', 15), ('name', 'zxxxx2')]), OrderedDict([('id', 24), ('name', '测试项目002')]), OrderedDict([('id', 27), ('name', 'test项目27')])]), ('max_num', 2), ('current_num', 1)]) - [views.py:224 ]
2023-03-05 10:38:08,190 - [INFO] - Demo1_1 - [msg]OrderedDict([('count', 5), ('next', 'http://127.0.0.1:8000/projects/names/?pp=2'), ('previous', None), ('results', [OrderedDict([('id', 15), ('name', 'zxxxx2')]), OrderedDict([('id', 24), ('name', '测试项目002')]), OrderedDict([('id', 27), ('name', 'test项目27')])]), ('max_num', 2), ('current_num', 1)]) - [views.py:224 ]
